IRGC_ID,COUNTRY,LAT,LON,bdodmean,cecmean,cfvomean,claymean,nitrogenmean,phh2omean,sandmean,siltmean,socmean,ocdmean,T_ESP,T_ECE,S_ESP,S_ECE,pawc,moist
IRIS_313-11965,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-11966,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-11967,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-11968,China,23.74889,108.30167,1.38,13,17.2,38.7,0.78,5.4,15.9,45.4,6.3,5.9,1,0.1,1,0.1,257.631012,70
IRIS_313-11969,India,27.1425,80.8575,1.5,20.9,13.4,33.9,0.49,7.3,31.9,34.1,2.4,7.6,2,0.1,2,0.1,226.5570068,146
IRIS_313-11991,Laos,20.49194,101.88889,1.17,18,29.5,36.2,1.53,5.4,28.8,35.1,11.5,7.9,1,0.1,2,0.1,249.1390076,62
IRIS_313-11992,Laos,20.61167,101.94667,1.26,15.5,31.3,38.8,0.9,5.3,26.7,34.4,8.3,6.2,2,0.1,1,0.1,229.7149963,110
IRIS_313-11993,Myanmar,16.5,95.16667,1.28,24.7,17,37.1,1.73,6.5,24.1,38.8,22.6,17.4,2,0.1,2,0.1,260.0100098,200
IRIS_313-11997,Cambodia,12.10194,105.22833,1.36,20.9,7.6,44.2,0.87,5.9,25.3,30.5,5.8,9,1,0.1,2,0.1,209.7740021,52
IRIS_313-11998,Cambodia,11.43056,105.7775,1.39,19.6,6.8,32.6,1.54,6,25.1,42.3,8.4,11.6,17,0.1,15,0.1,224.1589966,200
IRIS_313-11999,Cambodia,12.33194,105.56861,1.35,15.8,20.5,38.9,0.49,6,29,32,6.1,6.9,1,0.1,2,0.1,209.7740021,52
IRIS_313-12000,Cambodia,12.09083,105.06639,1.42,17.7,9.7,42.8,0.68,6,21.2,36,5.9,9.5,1,0.1,2,0.1,234.4600067,200
